ToiletID,URL,Name,Address1,Town,State,Postcode,Parking,BabyChange,Latitude,Longitude
19208,https://toiletmap.gov.au/toilet/19208,Tooleen Wayside Stop,Toolleen-Mt Camel Road,Toolleen,Victoria,3551,TRUE,TRUE,-36.716783,144.69615
19216,https://toiletmap.gov.au/toilet/19216,Heatherton Recreation Reserve,Ross Street,Heatherton,Victoria,3202,TRUE,FALSE,-37.968343,145.105766
19218,https://toiletmap.gov.au/toilet/19218,Swan Hill Showgrounds,High Street,Swan Hill,Victoria,3585,TRUE,FALSE,-35.33918662,143.5520564
19220,https://toiletmap.gov.au/toilet/19220,Showgrounds - CFA Track,High Street,Swan Hill,Victoria,3585,TRUE,FALSE,-35.33757427,143.554181
19222,https://toiletmap.gov.au/toilet/19222,Larundel Street,Mallee Highway (Larundel Street),Manangatang,Victoria,3546,TRUE,FALSE,-35.05486205,142.8820931
19276,https://toiletmap.gov.au/toilet/19276,Foster Showgrounds,71 Nelson Street,Foster,Victoria,3960,FALSE,TRUE,-38.65579781,146.206051
19278,https://toiletmap.gov.au/toilet/19278,Darebin Parklands,Separation Street,Alphington,Victoria,3078,FALSE,FALSE,-37.77303694,145.0326816
19288,https://toiletmap.gov.au/toilet/19288,Alfrieda Street,55 Alfrieda Street,Saint Albans,Victoria,3021,TRUE,TRUE,-37.74236306,144.8008912
19310,https://toiletmap.gov.au/toilet/19310,Toilet 169 : Batman Park,Spencer Street,Melbourne,Victoria,3000,FALSE,FALSE,-37.8217209,144.9555637
19314,https://toiletmap.gov.au/toilet/19314,Toilet 162 : JJ Holland Park 1,Altona Street,Kensington,Victoria,3031,TRUE,FALSE,-37.7981282,144.926436
19316,https://toiletmap.gov.au/toilet/19316,Toilet 103 : Royal Botanic,169 Domain Road,South Yarra,Victoria,3141,FALSE,FALSE,-37.83392298,144.9817494
19318,https://toiletmap.gov.au/toilet/19318,Kerr Street,Kerr Street,Fitzroy,Victoria,3065,FALSE,FALSE,-37.79722459,144.9842
19324,https://toiletmap.gov.au/toilet/19324,Toilet 34 : Elizabeth Street & Franklin Street,Elizabeth Street,Melbourne,Victoria,,FALSE,FALSE,-37.80823705,144.9601833
19326,https://toiletmap.gov.au/toilet/19326,Riversdale Road Shops,191 Elgar Road,Merrijig,Victoria,3723,TRUE,TRUE,-37.83772443,145.1107221
19336,https://toiletmap.gov.au/toilet/19336,Deer Park ,2 Burnside Street,Deer Park,Victoria,3023,TRUE,FALSE,-37.77055866,144.7720562
19338,https://toiletmap.gov.au/toilet/19338,Kevin Flint Memorial Reserve,Furlong Road,Cairnlea,Victoria,3023,TRUE,FALSE,-37.75918054,144.7961288
19637,https://toiletmap.gov.au/toilet/19637,Bridgewater,Main Street,Bridgewater On Loddon,Victoria,3516,TRUE,TRUE,-36.60139906,143.94142
19641,https://toiletmap.gov.au/toilet/19641,Ormond Shopping Centre Car Park,Katandra Road,Ormond,Victoria,3204,TRUE,FALSE,-37.903243,145.040019
19655,https://toiletmap.gov.au/toilet/19655,Forest Park,Nicholson Street,Orbost,Victoria,3888,FALSE,FALSE,-37.70913384,148.4533973
19713,https://toiletmap.gov.au/toilet/19713,Egan Reserve,Corner Brady Lane & Ballan-Greendale Road,Greendale,Victoria,3341,TRUE,FALSE,-37.56069449,144.2983599
19715,https://toiletmap.gov.au/toilet/19715,Ada River Camping Area,Errinundra Valley Road,Errinundra,Victoria,3889,FALSE,FALSE,-37.4049443,148.893139
19717,https://toiletmap.gov.au/toilet/19717,Beeripmo Camping Area,Main Mount Cole Road,Buangor,Victoria,3375,FALSE,FALSE,-37.3006104,143.2485116
19719,https://toiletmap.gov.au/toilet/19719,Bentleys Plain - Moscow Villa,North of Nunniong,Ensay North,Victoria,3895,FALSE,FALSE,-37.2255827,147.9210486
19721,https://toiletmap.gov.au/toilet/19721,Big River West,Eildon-Jamison Road,Eildon,Victoria,3713,FALSE,FALSE,-37.3667611,146.0558039
19723,https://toiletmap.gov.au/toilet/19723,Black Flat,Dargo River,Cowa,Victoria,3862,FALSE,FALSE,-37.3639962,147.292959
19725,https://toiletmap.gov.au/toilet/19725,Black Snake Creek,Wonnangatta Road,Hawkhurst,Victoria,3862,FALSE,FALSE,-37.4463862,147.1404508
19727,https://toiletmap.gov.au/toilet/19727,Blue Hole,Mansfield-Woods Point Road,Kevington,Victoria,3723,FALSE,FALSE,-37.3907363,146.2489526
19729,https://toiletmap.gov.au/toilet/19729,Blue Pool Upper South,Dargo Road,Stockdale,Victoria,3862,FALSE,FALSE,-37.7808318,147.112851
19731,https://toiletmap.gov.au/toilet/19731,Bobuck Ridge,North of Big River Road,Woods Point,Victoria,3723,FALSE,FALSE,-37.5126896,146.0372701
19733,https://toiletmap.gov.au/toilet/19733,Bruntons Bridge Left,Thomson River,Coopers Creek,Victoria,3825,FALSE,FALSE,-37.9994657,146.4717204
19735,https://toiletmap.gov.au/toilet/19735,Bruntons Bridge Right,Thomson River,Coopers Creek,Victoria,3825,FALSE,FALSE,-37.9995159,146.4718871
19737,https://toiletmap.gov.au/toilet/19737,Burnt Bridge South,Off Eildon-Jamison Road,Eildon,Victoria,3713,FALSE,FALSE,-37.3472636,146.0600498
19739,https://toiletmap.gov.au/toilet/19739,Buttercup 4,Buttercup Creek,Sawmill Settlement,Victoria,3723,FALSE,FALSE,-37.0684278,146.3412697
19741,https://toiletmap.gov.au/toilet/19741,Buttercup 2,Buttercup Creek,Sawmill Settlement,Victoria,3723,FALSE,FALSE,-37.0801184,146.3273416
19743,https://toiletmap.gov.au/toilet/19743,Camerons Track Camping Area,Cameron's Track,Glenlofty,Victoria,3469,FALSE,FALSE,-37.0940009,143.2979801
19745,https://toiletmap.gov.au/toilet/19745,Carters Mill Camping Area,Off Mount Buller Tourists Road,Sawmill Settlement,Victoria,3723,FALSE,FALSE,-37.1032447,146.3669668
19747,https://toiletmap.gov.au/toilet/19747,Cobboboonee Camping Area,Off Cobboboonee Road,Mount Richmond,Victoria,3305,FALSE,FALSE,-38.1478211,141.4386486
19749,https://toiletmap.gov.au/toilet/19749,Collins Hut,Off Wonnangatta Road,Hawkhurst,Victoria,3862,FALSE,FALSE,-37.4978295,147.1545862
19751,https://toiletmap.gov.au/toilet/19751,Comet Flat,South of Woods Point,Woods Point,Victoria,3723,FALSE,FALSE,-37.5778711,146.2667947
